a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-3
accountsservice 0.6.55-3
acl 2.3.1-1
acpilight 1.2-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
aircrack-ng 1.6-4
akonadi-contacts 21.04.0-1
alacritty 0.7.2-1
alsa-card-profiles 1:0.3.26-1
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
amd-ucode 20210315.3568f96-2
aom 3.1.0-1
appstream 0.14.3-1
appstream-glib 0.7.18-1
appstream-qt 0.14.3-1
archlinux-appstream-data 20210423-1
archlinux-keyring 20210110-1
argon2 20190702-3
aria2 1.35.0-2
ark 21.04.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.1-1
atk 2.36.0-1
atkmm 2.28.1-1
attica 5.81.0-1
attr 2.5.1-1
audiocd-kio 21.04.0-1
audit 3.0.1-1
autoconf 2.71-1
autofs 5.1.7-1
automake 1.16.3-1
avahi 0.8+20+gd1e71b3-1
baloo 5.81.0-1
baloo-widgets 21.04.0-1
bamf 0.5.5-1
base 2-2
bash 5.1.004-1
bash-completion 2.11-2
bc 1.07.1-4
bind 9.16.15-1
binutils 2.36.1-2
bison 3.7.6-1
blas 3.9.1-1
bluedevil 1:5.21.5-1
blueman 2.1.4-1
bluez 5.58-1
bluez-libs 5.58-1
bluez-qt 5.81.0-1
bluez-utils 5.58-1
bolt 0.9.1-1
boost-libs 1.75.0-3
brave-bin 1:1.23.75-2
breeze 5.21.5-1
breeze-gtk 5.21.5-1
breeze-icons 5.81.0-1
bridge-utils 1.7.1-1
broadcom-wl-dkms 6.30.223.271-26
brotli 1.0.9-4
btrfs-progs 5.11.1-1
bubblewrap 0.4.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.64-1
ca-certificates-utils 20181109-4
cairo 1.17.4-5
cairomm 1.12.2-4
cantarell-fonts 1:0.301-1
capitaine-cursors 4-1
cdparanoia 10.2-8
cfitsio 1:3.49-1
cifs-utils 6.13-2
cmake 3.20.2-1
cmatrix 2.0-2
colord 1.4.5-1
containerd 1.5.0-1
convertlit 1.8-10
coreutils 8.32-1
cowpatty 4.8-2
cpufetch-git v0.97.r6.g5a54069-1
cracklib 2.9.7-2
cronie 1.5.7-2
crunch 3.6-1
cryptsetup 2.3.5-4
cups 1:2.3.3op2-3
cups-filters 1.28.8-1
cups-pdf 3.0.1-6
curl 7.76.1-1
dav1d 0.8.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-1
dbus-python 1.2.16-4
dconf 0.40.0-1
ddcutil 1.1.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.11-5
dhcpcd 9.4.0-1
dialog 1:1.3_20210324-1
diffutils 3.7-3
discount 2.2.7-1
discover 5.21.5-1
dkms 2.8.4-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docker 1:20.10.6-1
docker-compose 1.29.1-2
dolphin 21.04.0-1
dosfstools 4.2-1
double-conversion 3.1.5-2
drkonqi 5.21.5-1
e2fsprogs 1.46.2-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.4-1
efibootmgr 17-2
efivar 37-4
elfutils 0.183-3
elisa 21.04.0-1
ethtool 1:5.10-1
ettercap 0.8.3.1-1
exfat-utils 1.3.0-2
exiv2 0.27.3-1
expat 2.3.0-1
faad2 2.10.0-1
fakeroot 1.25.3-2
faudio 21.05-1
ffmpeg 2:4.4-2
ffmpegthumbs 21.04.0-1
fftw 3.3.9-1
file 5.40-2
filesystem 2021.01.19-1
findutils 4.8.0-1
flac 1.3.3-2
flatpak 1.10.2-1
flex 2.6.4-3
font-bh-ttf 1.0.3-7
fontconfig 2:2.13.93-4
frameworkintegration 5.81.0-1
freerdp 2:2.3.2-1
freetype2 2.10.4-1
fribidi 1.0.10-1
fuse-common 3.10.3-1
fuse2 2.9.9-4
fuse3 3.10.3-1
fuseiso 20070708-8
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 10.2.0-6
gcc-libs 10.2.0-6
gcr 3.40.0-1
gd 2.3.2-2
gdb 10.1-4
gdb-common 10.1-4
gdbm 1.19-2
gdk-pixbuf2 2.42.6-1
geoclue 2.5.7-3
geocode-glib 3.26.2-1
geoip 1.6.12-2
geoip-database 20210427-1
geoip-database-extra 20210427-1
gettext 0.21-1
ghostscript 9.54.0-2
giflib 5.2.1-2
git 2.31.1-1
glib-networking 1:2.68.1-1
glib2 2.68.1-1
glibc 2.33-4
glibmm 2.66.0-1
glslang 11.4.0-1
glu 9.0.1-2
gmp 6.2.1-1
gnome-disk-utility 40.1-1
gnome-keyring 1:40.0-1
gnome-menus 3.36.0-1
gnupg 2.2.27-1
gnutls 3.7.1-1
go 2:1.16.3-1
gobject-introspection-runtime 1.68.0-1
gparted 1.3.0-2
gpgme 1.15.1-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.7-1
grantlee 5.2.0-3
grantleetheme 21.04.0-1
graphene 1.10.6-1
graphite 1:1.3.14-1
grep 3.6-1
groff 1.22.4-5
grub 2:2.04-10
gsettings-desktop-schemas 40.0-3
gsfonts 20200910-2
gsm 1.0.19-1
gst-libav 1.18.4-1
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gst-plugins-good 1.18.4-2
gst-plugins-ugly 1.18.4-2
gst-python 1.18.4-1
gstreamer 1.18.4-1
gtk-update-icon-cache 1:4.2.1-1
gtk2 2.24.33-2
gtk3 1:3.24.29-1
gtkmm3 3.24.4-1
gtksourceview4 4.8.1-1
guile 2.2.7-1
gwenview 21.04.0-1
gzip 1.10-3
harfbuzz 2.8.1-1
hashcat-utils 1.9-2
